project,mouse,session,session_label,type,name,version,start_s,label,label_name,decided_by,version_at,version_note,added_by,entry_id
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,353.559,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,356.732,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,361.169,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,441.819,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,462.551,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,475.508,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,482.9,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,483.034,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,504.176,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,510.048,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,519.18,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,527.398,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,539.218,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,551.128,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,551.718,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,553.043,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,559.774,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,567.364,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,575.218,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,579.273,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,582.934,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,599.801,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,600.342,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,612.382,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,629.105,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,629.949,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,630.425,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,633.591,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,633.937,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,637.771,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,641.392,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
