Mouse,Condition,Group,Session_ID,TimeFrame,Channel,Region,CSD_Val,Voltage_Val,,
M13_pten,Base,PTEN,m13s2,AS,29,HIL,27.72209926,613.6376423,,
M13_pten,Base,PTEN,m13s2,AS,30,HIL,27.72209926,613.6376423,,
M13_pten,Base,PTEN,m13s2,AS,31,HIL,140.2555307,876.5413861,,
M13_pten,Base,PTEN,m13s2,AS,32,HIL,140.2555307,876.5413861,,
M13_pten,Base,PTEN,m13s2,AS,33,HIL,242.6379193,965.2321113,,
M13_pten,Base,PTEN,m13s2,AS,34,HIL,242.6379193,965.2321113,,
M13_pten,Base,PTEN,m13s2,AS,35,HIL,560.8089733,733.373287,,
M13_pten,Base,PTEN,m13s2,AS,36,HIL,560.8089733,733.373287,,
M13_pten,Base,PTEN,m13s2,AS,37,HIL,-64.24129772,-211.6655775,,
M13_pten,Base,PTEN,m13s2,AS,38,HIL,-64.24129772,-211.6655775,,
M13_pten,Base,PTEN,m13s2,AS,39,DG GCL2,-438.5358904,-1065.31578,,
M13_pten,Base,PTEN,m13s2,AS,40,DG GCL2,-438.5358904,-1065.31578,,
M13_pten,Base,PTEN,m13s2,AS,41,DG GCL2,-523.6851072,-1447.796648,,
M13_pten,Base,PTEN,m13s2,AS,42,DG GCL2,-523.6851072,-1447.796648,,
M13_pten,Base,PTEN,m13s2,AS,43,DG GCL2,-173.7593759,-1285.85943,,
M13_pten,Base,PTEN,m13s2,AS,44,DG GCL2,-173.7593759,-1285.85943,,
M13_pten,Base,PTEN,m13s2,AS,45,DG MML2,202.4806695,-865.9167103,,
M13_pten,Base,PTEN,m13s2,AS,46,DG MML2,202.4806695,-865.9167103,,
M13_pten,Base,PTEN,m13s2,AS,47,DG MML2,186.0005527,-614.2053297,,
M13_pten,Base,PTEN,m13s2,AS,48,DG MML2,186.0005527,-614.2053297,,
M13_pten,Base,PTEN,m13s2,AS,49,DG OML2,50.65146571,-541.7463715,,
M13_pten,Base,PTEN,m13s2,AS,50,DG OML2,50.65146571,-541.7463715,,
M13_pten,Base,PTEN,m13s2,AS,51,DG OML2,-60.92459965,-500.5359132,,
M13_pten,Base,PTEN,m13s2,AS,52,DG OML2,-60.92459965,-500.5359132,,
M13_pten,Base,PTEN,m13s2,AS,53,DG OML2,21.40471595,-383.1350532,,
M13_pten,Base,PTEN,m13s2,AS,54,DG,21.40471595,-383.1350532,,
M13_pten,Base,PTEN,m13s2,AS,55,DG,62.2945646,-313.9882993,,
M13_pten,Base,PTEN,m13s2,AS,56,DG,62.2945646,-313.9882993,,
M13_pten,Base,PTEN,m13s2,AS,57,DG,-22.66079302,-324.8446087,,
M13_pten,Base,PTEN,m13s2,AS,58,DG,-22.66079302,-324.8446087,,
M13_pten,Base,PTEN,m13s2,AS,59,DG,-12.38816919,-303.056071,,
M13_pten,Base,PTEN,m13s2,AS,60,DG,-12.38816919,-303.056071,,
M13_pten,Base,PTEN,m13s2,AS,61,DG,-2.498527161,-258.654641,,
M13_pten,Base,PTEN,m13s2,AS,62,DG,-2.498527161,-258.654641,,
M13_pten,Base,PTEN,m13s2,AS,63,DG,-2.498527161,-205.0903009,,
M13_pten,Base,PTEN,m13s2,AS,64,DG,-2.498527161,-205.0903009,,
M13_pten,Base,PTEN,m13s2,GZ,1,CA1,3.618188295,-150.6406921,,
M13_pten,Base,PTEN,m13s2,GZ,2,CA1,3.618188295,-150.6406921,,
M13_pten,Base,PTEN,m13s2,GZ,3,CA1,3.618188295,-175.4049563,,
M13_pten,Base,PTEN,m13s2,GZ,4,CA1,3.618188295,-175.4049563,,
M13_pten,Base,PTEN,m13s2,GZ,5,CA1,17.6087183,-205.3565161,,
M13_pten,Base,PTEN,m13s2,GZ,6,CA1,17.6087183,-205.3565161,,
M13_pten,Base,PTEN,m13s2,GZ,7,CA1,-35.88549138,-248.5099109,,
M13_pten,Base,PTEN,m13s2,GZ,8,CA1,-35.88549138,-248.5099109,,
M13_pten,Base,PTEN,m13s2,GZ,9,CA1 SLM,-33.37093382,-253.530649,,
M13_pten,Base,PTEN,m13s2,GZ,10,CA1 SLM,-33.37093382,-253.530649,,
M13_pten,Base,PTEN,m13s2,GZ,11,CA1 SLM,9.057889801,-221.37151,,
M13_pten,Base,PTEN,m13s2,GZ,12,CA1 SLM,9.057889801,-221.37151,,
M13_pten,Base,PTEN,m13s2,GZ,13,DG OML1,4.252317821,-198.2230996,,
M13_pten,Base,PTEN,m13s2,GZ,14,DG OML1,4.252317821,-198.2230996,,
M13_pten,Base,PTEN,m13s2,GZ,15,DG OML1,24.97549507,-180.8855747,,
M13_pten,Base,PTEN,m13s2,GZ,16,DG OML1,24.97549507,-180.8855747,,
M13_pten,Base,PTEN,m13s2,GZ,17,DG MML1,97.42604296,-178.6288902,,
M13_pten,Base,PTEN,m13s2,GZ,18,DG MML1,97.42604296,-178.6288902,,
M13_pten,Base,PTEN,m13s2,GZ,19,DG MML1,76.15218624,-253.8626864,,
M13_pten,Base,PTEN,m13s2,GZ,20,DG MML1,76.15218624,-253.8626864,,
M13_pten,Base,PTEN,m13s2,GZ,21,DG MML1,18.55832235,-395.5432175,,
M13_pten,Base,PTEN,m13s2,GZ,22,DG MML1,18.55832235,-395.5432175,,
M13_pten,Base,PTEN,m13s2,GZ,23,DG GCL1,-148.6764913,-541.3899945,,
M13_pten,Base,PTEN,m13s2,GZ,24,DG GCL1,-148.6764913,-541.3899945,,
M13_pten,Base,PTEN,m13s2,GZ,25,DG GCL1,-139.5292448,-526.1519866,,
M13_pten,Base,PTEN,m13s2,GZ,26,DG GCL1,-139.5292448,-526.1519866,,
M13_pten,Base,PTEN,m13s2,GZ,27,HIL,-29.02562447,-350.8766434,,
M13_pten,Base,PTEN,m13s2,GZ,28,HIL,-29.02562447,-350.8766434,,
M13_pten,Base,PTEN,m13s2,GZ,29,HIL,28.15553272,-135.9219064,,
M13_pten,Base,PTEN,m13s2,GZ,30,HIL,28.15553272,-135.9219064,,
M13_pten,Base,PTEN,m13s2,GZ,31,HIL,121.147364,4.354739099,,
M13_pten,Base,PTEN,m13s2,GZ,32,HIL,121.147364,4.354739099,,
M13_pten,Base,PTEN,m13s2,GZ,33,HIL,99.80399082,28.56514583,,
M13_pten,Base,PTEN,m13s2,GZ,34,HIL,99.80399082,28.56514583,,
M13_pten,Base,PTEN,m13s2,GZ,35,HIL,159.2119468,-197.8545796,,
M13_pten,Base,PTEN,m13s2,GZ,36,HIL,159.2119468,-197.8545796,,
M13_pten,Base,PTEN,m13s2,GZ,37,HIL,28.24973587,-831.0018879,,
M13_pten,Base,PTEN,m13s2,GZ,38,HIL,28.24973587,-831.0018879,,
M13_pten,Base,PTEN,m13s2,GZ,39,DG GCL2,-253.5507922,-1432.69554,,
M13_pten,Base,PTEN,m13s2,GZ,40,DG GCL2,-253.5507922,-1432.69554,,
M13_pten,Base,PTEN,m13s2,GZ,41,DG GCL2,-834.0947835,-1660.426867,,
M13_pten,Base,PTEN,m13s2,GZ,42,DG GCL2,-834.0947835,-1660.426867,,
M13_pten,Base,PTEN,m13s2,GZ,43,DG GCL2,-217.696197,-1052.224312,,
M13_pten,Base,PTEN,m13s2,GZ,44,DG GCL2,-217.696197,-1052.224312,,
M13_pten,Base,PTEN,m13s2,GZ,45,DG MML2,479.1088625,-83.05614803,,
M13_pten,Base,PTEN,m13s2,GZ,46,DG MML2,479.1088625,-83.05614803,,
M13_pten,Base,PTEN,m13s2,GZ,47,DG MML2,380.0896959,456.1245739,,
M13_pten,Base,PTEN,m13s2,GZ,48,DG MML2,380.0896959,456.1245739,,
M13_pten,Base,PTEN,m13s2,GZ,49,DG OML2,181.3166692,617.8938299,,
M13_pten,Base,PTEN,m13s2,GZ,50,DG OML2,181.3166692,617.8938299,,
M13_pten,Base,PTEN,m13s2,GZ,51,DG OML2,-28.55945521,589.9206404,,
M13_pten,Base,PTEN,m13s2,GZ,52,DG OML2,-28.55945521,589.9206404,,
M13_pten,Base,PTEN,m13s2,GZ,53,DG OML2,5.172237273,560.4739099,,
M13_pten,Base,PTEN,m13s2,GZ,54,DG,5.172237273,560.4739099,,
M13_pten,Base,PTEN,m13s2,GZ,55,DG,51.94546153,528.1653001,,
M13_pten,Base,PTEN,m13s2,GZ,56,DG,51.94546153,528.1653001,,
M13_pten,Base,PTEN,m13s2,GZ,57,DG,-32.72968605,436.2331164,,
M13_pten,Base,PTEN,m13s2,GZ,58,DG,-32.72968605,436.2331164,,
M13_pten,Base,PTEN,m13s2,GZ,59,DG,19.50989527,386.5765912,,
M13_pten,Base,PTEN,m13s2,GZ,60,DG,19.50989527,386.5765912,,
M13_pten,Base,PTEN,m13s2,GZ,61,DG,1.879822232,326.8623496,,
M13_pten,Base,PTEN,m13s2,GZ,62,DG,1.879822232,326.8623496,,
M13_pten,Base,PTEN,m13s2,GZ,63,DG,1.879822232,252.8795817,,
M13_pten,Base,PTEN,m13s2,GZ,64,DG,1.879822232,252.8795817,,
m28_ptenblind,Base,PTEN,m28s2,AS,1,CA1,-72.03280164,-53.37334471,,
m28_ptenblind,Base,PTEN,m28s2,AS,2,CA1,-72.03280164,-53.37334471,,
m28_ptenblind,Base,PTEN,m28s2,AS,3,CA1,-72.03280164,-100.6355444,,
m28_ptenblind,Base,PTEN,m28s2,AS,4,CA1 SP,-72.03280164,-100.6355444,,
m28_ptenblind,Base,PTEN,m28s2,AS,5,CA1 SP,11.86143529,-81.32532523,,
m28_ptenblind,Base,PTEN,m28s2,AS,6,CA1 SP,11.86143529,-81.32532523,,
m28_ptenblind,Base,PTEN,m28s2,AS,7,CA1 SP,12.99843947,-72.9178116,,
m28_ptenblind,Base,PTEN,m28s2,AS,8,CA1 SP,12.99843947,-72.9178116,,
m28_ptenblind,Base,PTEN,m28s2,AS,9,CA1,-16.74490146,-78.87291809,,
m28_ptenblind,Base,PTEN,m28s2,AS,10,CA1,-16.74490146,-78.87291809,,
m28_ptenblind,Base,PTEN,m28s2,AS,11,CA1,-8.742378801,-67.26338557,,
m28_ptenblind,Base,PTEN,m28s2,AS,12,CA1,-8.742378801,-67.26338557,,
m28_ptenblind,Base,PTEN,m28s2,AS,13,CA1,8.774632993,-47.74033479,,
m28_ptenblind,Base,PTEN,m28s2,AS,14,CA1 SLM,8.774632993,-47.74033479,,
m28_ptenblind,Base,PTEN,m28s2,AS,15,CA1 SLM,21.30851843,-36.89969328,,
m28_ptenblind,Base,PTEN,m28s2,AS,16,CA1 SLM,21.30851843,-36.89969328,,
m28_ptenblind,Base,PTEN,m28s2,AS,17,CA1 SLM,-3.532829187,-46.49596788,,
m28_ptenblind,Base,PTEN,m28s2,AS,18,CA1 SLM,-3.532829187,-46.49596788,,
m28_ptenblind,Base,PTEN,m28s2,AS,19,DG OML1,86.2221291,-54.42064531,,
m28_ptenblind,Base,PTEN,m28s2,AS,20,DG OML1,86.2221291,-54.42064531,,
m28_ptenblind,Base,PTEN,m28s2,AS,21,DG OML1,154.328056,-154.5301888,,
m28_ptenblind,Base,PTEN,m28s2,AS,22,DG OML1,154.328056,-154.5301888,,
m28_ptenblind,Base,PTEN,m28s2,AS,23,DG OML1,100.2191022,-419.6325278,,
m28_ptenblind,Base,PTEN,m28s2,AS,24,DG OML1,100.2191022,-419.6325278,,
m28_ptenblind,Base,PTEN,m28s2,AS,25,DG MML1,-77.51563382,-786.6425099,,
m28_ptenblind,Base,PTEN,m28s2,AS,26,DG MML1,-77.51563382,-786.6425099,,
m28_ptenblind,Base,PTEN,m28s2,AS,27,DG MML1,-216.8822813,-1042.003647,,
m28_ptenblind,Base,PTEN,m28s2,AS,28,DG MML1,-216.8822813,-1042.003647,,
m28_ptenblind,Base,PTEN,m28s2,AS,29,DG GCL1,-244.2987837,-1042.360314,,
m28_ptenblind,Base,PTEN,m28s2,AS,30,DG GCL1,-244.2987837,-1042.360314,,
m28_ptenblind,Base,PTEN,m28s2,AS,31,DG GCL1,-82.94976276,-772.5277184,,
m28_ptenblind,Base,PTEN,m28s2,AS,32,DG GCL1,-82.94976276,-772.5277184,,
m28_ptenblind,Base,PTEN,m28s2,AS,33,HIL,129.6640479,-415.0020394,,
m28_ptenblind,Base,PTEN,m28s2,AS,34,HIL,129.6640479,-415.0020394,,
m28_ptenblind,Base,PTEN,m28s2,AS,35,HIL,112.6015509,-213.2046173,,
m28_ptenblind,Base,PTEN,m28s2,AS,36,HIL,112.6015509,-213.2046173,,
m28_ptenblind,Base,PTEN,m28s2,AS,37,HIL,125.7434074,-163.8242635,,
m28_ptenblind,Base,PTEN,m28s2,AS,38,HIL,125.7434074,-163.8242635,,
m28_ptenblind,Base,PTEN,m28s2,AS,39,HIL,108.1163743,-287.2052964,,
m28_ptenblind,Base,PTEN,m28s2,AS,40,HIL,108.1163743,-287.2052964,,
m28_ptenblind,Base,PTEN,m28s2,AS,41,HIL,-17.57794939,-558.2314962,,
m28_ptenblind,Base,PTEN,m28s2,AS,42,HIL,-17.57794939,-558.2314962,,
m28_ptenblind,Base,PTEN,m28s2,AS,43,HIL,-12.38859523,-812.9180972,,
m28_ptenblind,Base,PTEN,m28s2,AS,44,HIL,-12.38859523,-812.9180972,,
m28_ptenblind,Base,PTEN,m28s2,AS,45,DG GCL2,-340.7496186,-1083.097482,,
m28_ptenblind,Base,PTEN,m28s2,AS,46,DG GCL2,-340.7496186,-1083.097482,,
