Mouse,Group,Type,Session_ID,Channel,Region,TimeFrame,CSD_Val,Voltage_Val,Theta_Val
M3_pten,Base,PTEN,m3s2,8,CA1 SP,GZ,1.477193972232411,-423.2383307330476,-0.005584424983374748
M3_pten,Base,PTEN,m3s2,10,CA1,GZ,-6.256193009988976,-437.5250598890415,-0.01050763328990639
M3_pten,Base,PTEN,m3s2,12,CA1,GZ,-35.69402163329357,-437.7227646760897,-0.01479329438910906
M3_pten,Base,PTEN,m3s2,14,CA1,GZ,24.03353246425953,-394.1571708940714,-0.0126034588324022
M3_pten,Base,PTEN,m3s2,16,CA1 SLM,GZ,-37.99169993470489,-367.8007623300113,-0.007217956776634077
M3_pten,Base,PTEN,m3s2,18,CA1 SLM,GZ,-31.1467235039406,-308.5939774037119,-0.01504952724192215
M3_pten,Base,PTEN,m3s2,20,CA1 SLM,GZ,-27.07947314309933,-221.4368658165286,-0.01206759201393777
M3_pten,Base,PTEN,m3s2,22,DG OML1,GZ,-2.886998688370606,-112.2327369655831,-0.007976028113244129
M3_pten,Base,PTEN,m3s2,24,DG OML1,GZ,22.01561354472141,2.864331673225531,-0.006656595285978789
M3_pten,Base,PTEN,m3s2,26,DG MML1,GZ,-4.807189762417512,81.68605116547131,-0.009342992635055673
M3_pten,Base,PTEN,m3s2,28,DG MML1,GZ,24.25261466733872,162.0068614067157,-0.005865958011040284
M3_pten,Base,PTEN,m3s2,30,DG MML1,GZ,45.96376838572217,212.4095751880355,-0.007399569693439443
M3_pten,Base,PTEN,m3s2,32,DG GCL1,GZ,-47.48204027103191,210.5699246402291,-0.006793958045170747
M3_pten,Base,PTEN,m3s2,34,DG GCL1,GZ,27.4078279646261,242.8573403735097,-0.007250414032036147
M3_pten,Base,PTEN,m3s2,36,HIL,GZ,17.60470482610887,249.1975377817623,-0.01120506565820512
M3_pten,Base,PTEN,m3s2,38,HIL,GZ,6.222901106579939,231.0122448712278,-0.02517783015867705
M3_pten,Base,PTEN,m3s2,40,HIL,GZ,50.90278334631599,211.8779962713068,-0.02696835931464389
M3_pten,Base,PTEN,m3s2,42,HIL,GZ,13.51194857152677,142.377191080244,-0.02923663855943174
M3_pten,Base,PTEN,m3s2,44,DG GCL2,GZ,-75.94581223652858,61.03197259803469,-0.05193953362863468
M3_pten,Base,PTEN,m3s2,46,DG GCL2,GZ,-78.5643278328904,53.29706274450449,-0.05518352396445485
M3_pten,Base,PTEN,m3s2,48,DG MML2,GZ,9.541352123808663,126.7713384727785,-0.03222681752808269
M3_pten,Base,PTEN,m3s2,50,DG MML2,GZ,64.8056432998076,202.1582613403503,-0.03563341919501363
M3_pten,Base,PTEN,m3s2,52,DG MML2,GZ,23.41494742027126,215.5291902681399,-0.02339214674717007
M3_pten,Base,PTEN,m3s2,54,DG OML2,GZ,22.12059043369683,197.3754155120623,-0.008338706471190315
M3_pten,Base,PTEN,m3s2,56,DG OML2,GZ,-6.499438691348973,155.3547570673435,-0.004652203293805663
M3_pten,Base,PTEN,m3s2,58,DG,GZ,-22.1954972163673,117.1914568245855,-0.004656700142740789
M3_pten,Base,PTEN,m3s2,60,DG,GZ,13.79170795339993,107.09609644246,-0.006347469125841642
M3_pten,Base,PTEN,m3s2,62,DG,GZ,38.60760014777316,77.02354738147356,-0.007452416501292884
M3_pten,Base,PTEN,m3s2,64,DG,GZ,,8.16879613566506,
M3_pten,CNO,PTEN,m3s7,2,CA1 SP,AS,1.184917167019658,-202.078601631386,-0.003881841587836825
M3_pten,CNO,PTEN,m3s7,4,CA1 SP,AS,1.184917167019658,-204.0670139001448,-0.004215214138159461
M3_pten,CNO,PTEN,m3s7,6,CA1,AS,-1.373460124114186,-205.896928927051,-0.003890050119122602
M3_pten,CNO,PTEN,m3s7,8,CA1,AS,2.445920145826674,-206.3864131521222,-0.003365920126560597
M3_pten,CNO,PTEN,m3s7,10,CA1,AS,-6.279830737492008,-209.1773364224045,-0.004241612892383393
M3_pten,CNO,PTEN,m3s7,12,CA1,AS,8.30673907215739,-204.5270991028592,-0.003508718804501393
M3_pten,CNO,PTEN,m3s7,14,CA1,AS,-5.632535474278029,-211.370148929158,-0.003299283296690954
M3_pten,CNO,PTEN,m3s7,16,CA1 SLM,AS,5.355431702232525,-209.4044876626254,-0.002794502689679178
M3_pten,CNO,PTEN,m3s7,18,CA1 SLM,AS,-2.906389553528617,-216.8477587350343,-0.003020485715632045
M3_pten,CNO,PTEN,m3s7,20,CA1 SLM,AS,-3.243539847579657,-220.3035051232388,-0.003464131569339858
M3_pten,CNO,PTEN,m3s7,22,DG OML1,AS,3.041325119551892,-219.5175825148038,-0.003270077347643904
M3_pten,CNO,PTEN,m3s7,24,DG OML1,AS,-2.576367832713933,-221.1985607859505,-0.004751155855971637
M3_pten,CNO,PTEN,m3s7,26,DG MML1,AS,1.083842323869092,-220.319439266727,-0.004482931638137402
M3_pten,CNO,PTEN,m3s7,28,DG MML1,AS,-0.1690174307664688,-221.5871217339861,-0.004101793513548414
M3_pten,CNO,PTEN,m3s7,30,DG MML1,AS,-2.624472693714031,-221.9114395922481,-0.003162457549472713
M3_pten,CNO,PTEN,m3s7,32,DG GCL1,AS,1.749817570965206,-219.6444647275889,-0.006465536009655621
M3_pten,CNO,PTEN,m3s7,34,DG GCL1,AS,-0.5157678836650066,-218.9569328170926,-0.005090501330836075
M3_pten,CNO,PTEN,m3s7,36,HIL,AS,0.1115725778252885,-217.53695792677,-0.004527245638907708
M3_pten,CNO,PTEN,m3s7,38,HIL,AS,-2.688343669244203,-215.2396132177667,-0.003838010267334561
M3_pten,CNO,PTEN,m3s7,40,HIL,AS,0.6953741075234298,-208.9919938421184,-0.006029332160504735
M3_pten,CNO,PTEN,m3s7,42,HIL,AS,-0.3755769461317083,-201.1666198983727,-0.006835440878274695
M3_pten,CNO,PTEN,m3s7,44,HIL,AS,-9.092508171322198,-192.24723509898,-0.01068610892860204
M3_pten,CNO,PTEN,m3s7,46,HIL,AS,-5.846015429354496,-166.6098524755793,-0.01686258008725937
M3_pten,CNO,PTEN,m3s7,48,HIL,AS,9.070420000965742,-124.2382002074688,-0.01550109181619938
M3_pten,CNO,PTEN,m3s7,50,DG GCL2,AS,-30.47769453824322,-85.51434824245759,-0.011337199510962
M3_pten,CNO,PTEN,m3s7,52,DG GCL2,AS,0.4167353507299725,-22.76474146757217,-0.01518282428559497
M3_pten,CNO,PTEN,m3s7,54,DG GCL2,AS,-2.846616206774835,39.15291307378116,-0.008708519579110693
M3_pten,CNO,PTEN,m3s7,56,DG MML2,AS,27.46509184516193,104.5353679736126,-0.006493040009401953
M3_pten,CNO,PTEN,m3s7,58,DG MML2,AS,34.04944794663787,130.151730190504,-0.01169549442065774
M3_pten,CNO,PTEN,m3s7,60,DG MML2,AS,-16.55429017310049,112.9430451663533,-0.02612821855160668
M3_pten,CNO,PTEN,m3s7,62,DG OML2,AS,-11.90392379565621,108.8615406928057,-0.02249674007719793
M3_pten,CNO,PTEN,m3s7,64,DG OML2,AS,-11.90392379565621,117.7204390614195,
M3_pten,CNO,PTEN,m3s7,2,CA1 SP,GZ,,-291.3029571699966,-0.003881841587836825
M3_pten,CNO,PTEN,m3s7,4,CA1 SP,GZ,-4.308721070648517,-292.2940280268102,-0.004215214138159461
M3_pten,CNO,PTEN,m3s7,6,CA1,GZ,13.01689558131721,-293.9245505411117,-0.003890050119122602
M3_pten,CNO,PTEN,m3s7,8,CA1,GZ,-6.954562279485889,-302.1260245901639,-0.003365920126560597
M3_pten,CNO,PTEN,m3s7,10,CA1,GZ,19.04296875,-306.3489569992315,-0.004241612892383393
M3_pten,CNO,PTEN,m3s7,12,CA1,GZ,-24.71776162424397,-326.4411967960213,-0.003508718804501393
M3_pten,CNO,PTEN,m3s7,14,CA1,GZ,9.154781218497986,-322.9739496616718,-0.003299283296690954
M3_pten,CNO,PTEN,m3s7,16,CA1 SLM,GZ,-12.75733209425404,-332.2146889941939,-0.002794502689679178
M3_pten,CNO,PTEN,m3s7,18,CA1 SLM,GZ,9.78154008106519,-330.9810617582394,-0.003020485715632045
M3_pten,CNO,PTEN,m3s7,20,CA1 SLM,GZ,0.5194551201276911,-332.7711761974896,-0.003464131569339858
M3_pten,CNO,PTEN,m3s7,22,DG OML1,GZ,6.705007245463711,-334.8196060931098,-0.003270077347643904
M3_pten,CNO,PTEN,m3s7,24,DG OML1,GZ,0.3648983534946263,-343.2744760982326,-0.004751155855971637
M3_pten,CNO,PTEN,m3s7,26,DG MML1,GZ,-1.385596490675407,-351.0603774440744,-0.004482931638137402
M3_pten,CNO,PTEN,m3s7,28,DG MML1,GZ,6.641182848202282,-357.8913954437757,-0.004101793513548414
M3_pten,CNO,PTEN,m3s7,30,DG MML1,GZ,-1.918997815860217,-370.4650545380807,-0.003162457549472713
M3_pten,CNO,PTEN,m3s7,32,DG GCL1,GZ,-4.130373718918007,-381.8592008997182,-0.006465536009655621
M3_pten,CNO,PTEN,m3s7,34,DG GCL1,GZ,-2.289310578377016,-381.7232892812928,-0.005090501330836075
M3_pten,CNO,PTEN,m3s7,36,HIL,GZ,3.936439432123665,-383.6526505934086,-0.004527245638907708
