Mouse,Group,Region,TimeFrame,nChannels,Mean_CSD,Mean_Voltage
M3_pten,CNO,DG MML2,GZ,3,46.22614597334226,371.2144862107241
M3_pten,CNO,DG OML1,AS,2,0.2324786434189794,-220.35807165037716
M3_pten,CNO,DG OML1,GZ,2,3.5349527994791687,-339.0470410956712
M3_pten,CNO,DG OML2,AS,2,-11.90392379565621,113.2909898771126
M3_pten,CNO,DG OML2,GZ,2,-53.13093944262427,494.28508320792776
M3_pten,CNO,HIL,AS,7,-1.1607253613911637,-189.43292466672227
M3_pten,CNO,HIL,GZ,7,-7.595361103110593,-355.91567409494536
M5_Pten,Base,CA1,AS,6,-3.839738330369512,-137.04752097650848
M5_Pten,Base,CA1,GZ,6,-2.952526461693557,-280.4719685205345
M5_Pten,Base,CA1 SLM,AS,3,8.432217571131718,-108.05818549824947
M5_Pten,Base,CA1 SLM,GZ,3,15.807449176747316,-337.01111840420083
M5_Pten,Base,CA1 SP,AS,2,7.677395325487533,-95.24010622649767
M5_Pten,Base,CA1 SP,GZ,2,7.07810924899194,-210.7411368948514
M5_Pten,Base,DG GCL1,AS,2,251.8772993551192,576.0492348572031
M5_Pten,Base,DG GCL1,GZ,2,141.37317288306446,-89.84650158491296
M5_Pten,Base,DG GCL2,AS,2,-604.8637058423907,-1109.0175264603865
M5_Pten,Base,DG GCL2,GZ,2,-41.38921922253005,-1465.7975493884474
M5_Pten,Base,DG MML1,AS,3,-242.68119272165382,-325.32654230690264
M5_Pten,Base,DG MML1,GZ,3,-170.69465883316522,-667.7876456839141
M5_Pten,Base,DG MML2,AS,3,-135.2915784180521,-1358.3984797096516
M5_Pten,Base,DG MML2,GZ,3,-164.16980374243943,-385.4220030737705
M5_Pten,Base,DG OML1,AS,2,90.12554978470673,-113.08883730306664
M5_Pten,Base,DG OML1,GZ,2,91.22540873865928,-426.7117859887295
M5_Pten,Base,DG OML2,AS,1,157.3619793748,-686.3899705815612
M5_Pten,Base,DG OML2,GZ,1,,1352.870753554047
M5_Pten,Base,HIL,AS,8,167.4154237713047,930.8493839754603
