Mouse,Channel,TimeFrame,Region,Base_CSD,CNO_CSD,Delta_CSD,Base_Voltage,CNO_Voltage,Delta_Voltage,Base_Theta,CNO_Theta,Delta_Theta
M34_ptenblind,18,AS,CA1 SLM,-10.82214979869324,-31.67360004038981,-20.851450241696572,-108.9090054460581,-134.1709935177553,-25.261988071697203,-0.003903058100405489,-0.00983084762231661,-0.005927789521911121
M34_ptenblind,18,GZ,CA1 SLM,-5.160916236139106,-36.65822112615206,-31.497304890012952,-68.3626268730789,-130.5194649260832,-62.15683805300431,-0.003903058100405489,-0.00983084762231661,-0.005927789521911121
M34_ptenblind,20,AS,CA1 SLM|DG OML1,-8.90118142832881,-0.1579844955985115,8.743196932730298,-94.8410983896849,-83.94408890249889,10.897009487186011,-0.01488779225463873,-0.005105904128967469,0.00978188812567126
M34_ptenblind,20,GZ,CA1 SLM|DG OML1,-1.491915795110897,-1.931889265913,-0.43997347080210303,-44.07863929623463,-71.16413339798012,-27.085494101745496,-0.01488779225463873,-0.005105904128967469,0.00978188812567126
M34_ptenblind,22,AS,DG OML1,20.0998837990529,9.572361871888713,-10.527521927164187,-72.1864819032028,-34.84202929340174,37.34445260980107,-0.01953161615854484,-0.01518246215824379,0.004349154000301048
M34_ptenblind,22,GZ,DG OML1,53.32897555443549,30.19257294966877,-23.13640260476672,-18.48114513960041,-6.680347880379111,11.8007972592213,-0.01953161615854484,-0.01518246215824379,0.004349154000301048
M34_ptenblind,24,AS,DG OML1,95.31310879056109,31.71166617547155,-63.60144261508954,-71.7748111709025,2.411738894857735,74.18655006576023,-0.02917712718249475,-0.02443938491113573,0.004737742271359018
M34_ptenblind,24,GZ,DG OML1,156.6240864415323,90.33470329601099,-66.28938314552133,-43.26091828893443,30.69417984759223,73.95509813652666,-0.02917712718249475,-0.02443938491113573,0.004737742271359018
M34_ptenblind,26,AS,DG MML1,100.421173798154,84.87895147444159,-15.542222323712409,-169.8973089827541,3.399553281990963,173.29686226474507,-0.03296500898274753,-0.02082252526111015,0.012142483721637384
M34_ptenblind,26,GZ,DG MML1,110.2865895917338,126.0833037064371,15.796714114703306,-219.4078789382685,-16.59827489205214,202.80960404621638,-0.03296500898274753,-0.02082252526111015,0.012142483721637384
M34_ptenblind,28,AS,DG MML1,63.64952145939898,120.1336449151671,56.48412345576811,-368.9698658543504,-91.35291388420643,277.616951970144,-0.03714436057947136,-0.02583645560973121,0.01130790496974015
M34_ptenblind,28,GZ,DG MML1,73.11667165448584,175.7947508640553,102.67807920956945,-511.9518842853483,-204.5225907265442,307.4292935588041,-0.03714436057947136,-0.02583645560973121,0.01130790496974015
M34_ptenblind,30,AS,DG GCL1|DG MML1,-184.5605562410086,70.91858110856428,255.4791373495729,-625.4860652432897,-314.2454535140045,311.24061172928515,-0.02815586370127707,-0.0300070653260703,-0.0018512016247932278
M34_ptenblind,30,GZ,DG GCL1|DG MML1,-274.4839575982863,94.14025935159854,368.62421694988484,-867.3243288133965,-579.4065953417742,287.91773347162234,-0.02815586370127707,-0.0300070653260703,-0.0018512016247932278
M34_ptenblind,32,AS,DG GCL1,-194.0468790586038,-126.0138258343419,68.03305322426189,-678.7794437645877,-598.7037066248794,80.07573713970828,-0.04332074254492858,-0.01761243632350728,0.025708306221421298
M34_ptenblind,32,GZ,DG GCL1,-253.966792937248,-283.4662512150779,-29.499458277829888,-950.2510946305075,-1050.82834855734,-100.57725392683244,-0.04332074254492858,-0.01761243632350728,0.025708306221421298
M34_ptenblind,34,AS,DG GCL1,-126.5486695272539,-143.6289131184063,-17.080243591152396,-536.2042312305498,-721.8731222734974,-185.66889104294762,-0.04467009422977632,-0.03144370969757255,0.013226384532203775
M34_ptenblind,34,GZ,DG GCL1,-114.8130355342742,-248.9588864937355,-134.14585095946128,-778.4899101882685,-1217.532584482948,-439.0426742946796,-0.04467009422977632,-0.03144370969757255,0.013226384532203775
M34_ptenblind,36,AS,HIL|DG GCL1,-13.6589967381314,-212.8106682763119,-199.1516715381805,-270.1816163122407,-679.6326877523895,-409.45107144014884,-0.03133249923959266,-0.03425224122778646,-0.002919741988193801
M34_ptenblind,36,GZ,HIL|DG GCL1,54.69931325604841,-157.1184149535571,-211.81772820960552,-493.9762803374744,-1135.619473959858,-641.6431936223835,-0.03133249923959266,-0.03425224122778646,-0.002919741988193801
M34_ptenblind,38,AS,HIL,157.4812398847106,24.56426428842598,-132.9169755962846,1.597234322322349,-398.8336134607011,-400.4308477830234,-0.01912144873883699,-0.02158462043090029,-0.002463171692063299
M34_ptenblind,38,GZ,HIL,111.4413353704637,89.6107194610455,-21.8306159094182,-263.4019695344519,-860.9726345231992,-597.5706649887472,-0.01912144873883699,-0.02158462043090029,-0.002463171692063299
M34_ptenblind,40,AS,HIL,100.6839683903453,134.4115564236903,33.727588033345015,108.4968281979383,-149.174570966629,-257.67139916456733,-0.01830603182158449,-0.01110469286171918,0.007201338959865309
M34_ptenblind,40,GZ,HIL,114.4822643649194,159.1401693458381,44.6579049809187,-156.0321245037141,-647.3569490312134,-491.3248245274993,-0.01830603182158449,-0.01110469286171918,0.007201338959865309
M34_ptenblind,42,AS,HIL,36.98320705872362,44.18912977470201,7.205922715978389,110.9788823424533,-73.61518213151109,-184.5940644739644,-0.018093291000283,-0.01167350008857517,0.006419790911707831
M34_ptenblind,42,GZ,HIL,37.6670591292843,38.79431096090155,1.1272518316172508,-163.4966740842726,-606.4680398766834,-442.9713657924108,-0.018093291000283,-0.01167350008857517,0.006419790911707831
