project,mouse,session,session_label,type,name,start_s,end_s,channel,amplitude,pipeline,run_id,added_by,added_at,entry_id
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,135.631,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,136.529,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,137.73,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,138.531,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,138.704,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,138.823,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,140.283,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,140.417,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,141.942,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,161.137,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,161.299,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,162.575,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,163.773,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,167.922,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,170.431,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,170.578,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,171.303,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,173.99,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,175.363,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,177.725,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,178.065,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,179.45,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,179.592,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,180.618,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,181.488,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,182.994,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,183.403,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,184.102,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,188.01,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,188.863,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,188.987,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,327.042,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,333.08,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,334.756,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,355.513,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
