n,stamp_s,refined_s,offset_ms,idx,peak_uv_mm2,pc1,pc2,k_type,db_type,type,by
40,1527.143965,1527.145387,1.422000000047774,1527145,3780.936278389346,0.45539715318125856,-0.1460393028038974,1,0,1,Rain Younger
41,1529.245965,1529.245586,-0.3790000000662985,1529246,4869.009435499868,-0.017174460566494604,0.20607865681485013,1,1,1,Rain Younger
42,1532.053965,1532.0535849999999,-0.3800000001774606,1532054,4690.087450181284,-0.48300826368921873,0.1893400606302549,2,0,2,Rain Younger
43,1539.194965,1539.194449,-0.5159999998340936,1539194,3437.8155622174663,0.21244532921842219,-0.5473658039116607,1,0,1,Rain Younger
44,1558.672965,1558.6735079999999,0.542999999879612,1558674,5305.993372855648,0.3823905714852104,-0.6856116187527713,1,0,1,Rain Younger
45,1566.167965,1566.167838,-0.12700000002041634,1566168,4305.246299620598,0.05856832277962927,-0.3801638773945768,1,0,1,Rain Younger
46,1568.154965,1568.1515709999999,-3.3940000000711734,1568152,14547.132801732709,-0.6107795422045422,-0.43500905053516437,2,0,2,Rain Younger
47,1573.711965,1573.7083019999998,-3.6630000001878216,1573708,34749.1026736844,-0.9306802653236096,0.010090365935040625,2,0,2,Rain Younger
48,1591.690965,1591.6914940000001,0.5290000001423323,1591691,23891.53895445793,-1.0122762742144777,0.12460713150448786,2,0,2,Rain Younger
49,1605.413965,1605.414089,0.12400000014167745,1605414,25740.028525075606,-0.8709391511479708,0.02849470528052927,2,0,2,Rain Younger
50,1618.139965,1618.134817,-5.147999999962849,1618135,20674.850319277855,-0.7262140020830119,0.24120556088897951,2,0,2,Rain Younger
51,1620.794965,1620.795149,0.183999999990192,1620795,3894.7472183473647,-0.06457515191179251,0.4906105611510651,2,0,2,Rain Younger
52,1627.854965,1627.850747,-4.2180000000371365,1627851,13896.158316704536,-0.7908438980289932,-0.21503520300831766,2,0,2,Rain Younger
53,1646.590965,1646.590939,-0.026000000161729986,1646591,5036.4932370339675,0.032180408823160755,0.1199050385342593,1,1,1,Rain Younger
54,1649.943965,1649.943004,-0.9609999999611318,1649943,4409.924610076412,0.1519726083533283,-0.13099719642410487,1,0,1,Rain Younger
55,1653.093965,1653.093336,-0.6290000001172302,1653093,4690.786938513479,0.4026697591506504,0.281897042974936,1,0,1,Rain Younger
56,1653.879965,1653.881403,1.4380000000073778,1653881,4238.430295390467,0.5080921930079668,-0.0316700865878809,1,0,1,Rain Younger
57,1657.648965,1657.649135,0.16999999979816494,1657649,23181.16117292835,-0.7614070319293801,0.025564067297641213,2,0,2,Rain Younger
58,1663.555965,1663.554199,-1.7660000000887521,1663554,24239.76994176065,-0.8660865603989916,0.004027633440522392,2,0,2,Rain Younger
59,1665.460965,1665.459665,-1.299999999901047,1665460,4079.7071623648367,-0.005494143763813474,1.1617129284282883,2,0,2,Rain Younger
60,1665.720965,1665.721665,0.7000000000516593,1665722,4462.96738443067,-0.11822678744707887,1.1457510819975554,2,0,2,Rain Younger
61,1669.505965,1669.506463,0.49799999987953925,1669506,3703.243601029919,0.31172667031768747,-0.648796647979594,1,0,1,Rain Younger
62,1670.865965,1670.866729,0.7640000001174485,1670867,4522.273626265987,0.18296492390194505,-0.45459118962920264,1,0,1,Rain Younger
63,1698.528965,1698.528785,-0.18000000000029104,1698529,3719.228741061303,0.6455420721880529,-0.15546018701595063,1,0,1,Rain Younger
64,1705.694965,1705.698782,3.8170000000263826,1705699,3344.1894269604836,0.7065414935933155,-0.7168529392842075,1,0,1,Rain Younger
