project,mouse,session,session_label,type,name,version,start_s,label,label_name,decided_by,version_at,version_note,added_by,entry_id
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,645.764147,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,654.603752,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,677.917681,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,685.013895,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,701.202269,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,712.282118,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,722.269901,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,844.169,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,887.705535,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,931.017761,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,974.827888,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1193.504,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1227.655631,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1321.478724,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1345.431,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1345.561091,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1352.85342,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1394.884,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1415.142802,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1426.106537,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1435.007,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1435.662905,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1463.70833,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1473.147302,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1483.953317,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1484.609431,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1570.487077,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1602.944496,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1603.081,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1606.537,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1725.931539,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1732.181,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1761.902529,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
