n,stamp_s,refined_s,offset_ms,idx,peak_uv_mm2,pc1,pc2,k_type,db_type,type,by
19,1093.486965,1093.485561,-1.4040000000932196,1093486,24549.05800185665,-0.920869323135684,0.18892946250292808,2,0,2,Rain Younger
20,1120.040965,1120.040284,-0.6809999999859428,1120040,14124.371600243354,0.2455039048289546,-0.16345606055006906,1,0,1,Rain Younger
21,1153.614965,1153.61447,-0.49500000000080036,1153614,12775.312467267437,0.5103051456960902,-0.8873322529665444,1,0,1,Rain Younger
22,1153.880965,1153.88147,0.5049999999755528,1153881,13235.941806916268,0.4799334278330377,-0.7401972416591142,1,0,1,Rain Younger
23,1159.802965,1159.797601,-5.364000000099622,1159798,24549.84901329779,-0.7541149290136184,-0.4137609506642592,2,0,2,Rain Younger
24,1190.059965,1190.060789,0.8240000001933367,1190061,13027.716893596034,0.15242852052762537,0.5618799200817174,1,0,1,Rain Younger
25,1213.745965,1213.748313,2.3479999999835854,1213748,13045.879723087433,0.006133152587344317,-0.00039655228980538455,1,2,1,Rain Younger
26,1227.979965,1227.976907,-3.058000000009997,1227977,13942.947968513736,0.16552407100569302,-1.249543056344977,2,0,2,Rain Younger
27,1263.951965,1263.953426,1.4610000000629952,1263953,13800.07673140495,0.6655046007726968,-1.121361035339016,1,0,1,Rain Younger
28,1270.120965,1270.12149,0.5249999999250576,1270121,13758.553116336945,0.06399932418923816,0.11883454200190582,1,2,1,Rain Younger
29,1304.679965,1304.680476,0.5109999999604042,1304680,13542.168540400844,1.0260102771858688,-0.18589836678075955,1,0,1,Rain Younger
30,1318.234965,1318.233404,-1.5610000000378932,1318233,13680.680990649807,-0.15330371101470014,0.25229303907843037,1,1,1,Rain Younger
31,1349.983965,1349.981458,-2.5069999999232095,1349981,26625.94045309482,-0.8655115627834017,0.16616084533793463,2,0,2,Rain Younger
32,1383.467965,1383.469245,1.2799999999515421,1383469,13092.4312261766,0.7154029966087248,0.5861293632286336,1,0,1,Rain Younger
33,1404.707965,1404.710169,2.203999999892403,1404710,13234.495197911416,-0.2722163348836299,0.3584029586472826,2,1,2,Rain Younger
34,1410.063965,1410.063101,-0.8640000000923465,1410063,13668.098847912204,0.9051496813304499,0.047895496769165685,1,0,1,Rain Younger
35,1452.824965,1452.823083,-1.882000000023254,1452823,31336.11664716659,-0.9213221984016754,0.29487355657291536,2,0,2,Rain Younger
36,1484.148965,1484.149471,0.5059999998593412,1484149,14624.856676993832,0.23792068988682494,0.28408699553638755,1,2,1,Rain Younger
37,1511.605965,1511.607727,1.7620000000988512,1511608,18968.781399142357,-0.34539980724232594,-0.2989033855126056,2,0,2,Rain Younger
38,1511.984965,1511.982193,-2.7720000000499567,1511982,13995.255047213646,0.2797058841379801,0.11430782240266038,1,2,1,Rain Younger
39,1522.537965,1522.541389,3.4239999999954307,1522541,13205.45238027265,-0.043119490036815034,-0.5181058309887223,2,0,2,Rain Younger
