# Jarvis Panorama -- PTEN m1 s8 2023-10-05 CSC1 panorama -- CSC1 -- 2-200 Hz -- 93 windows of 8 s every 1 s -- taken 2026-09-18T14:04:13
frequency_hz,power_uv2_per_hz
152.0,0.386597903963526
152.5,0.1758237672938881
153.0,0.1562316359286245
153.5,0.1490536809046036
154.0,0.1366399917846892
154.5,0.1262682825225081
155.0,0.1362259855624179
155.5,0.20253607658690626
156.0,0.1619729555903627
156.5,0.14341549254981423
157.0,0.1454770541120369
157.5,0.14198274888736578
158.0,0.13846573713756352
158.5,0.1280821205382723
159.0,0.1283431949871617
159.5,0.12194547949589647
160.0,0.10740458756599928
160.5,0.09486461689752958
161.0,0.10525225171865518
161.5,0.10996816360463482
162.0,0.11690558921195199
162.5,0.116881752397788
163.0,0.5073447313310397
163.5,1.398059122983628
164.0,0.42945831352395225
164.5,0.1260320923168138
165.0,0.1233416016326792
165.5,0.09054465126791031
166.0,0.08330330773883167
166.5,0.0980769125388953
167.0,0.1164269576393752
167.5,0.12281966662639249
168.0,0.11829207963921483
168.5,0.11196603430792415
169.0,0.09872583447619705
169.5,0.09271436211710819
170.0,0.11497887419616601
170.5,0.09904831389781321
171.0,0.08182762781874582
171.5,0.08908914322539957
172.0,0.10446256681683007
172.5,0.10792616123087535
173.0,0.08803353582457595
173.5,0.09177177550861654
174.0,0.0894071598013382
174.5,0.08707898240729998
175.0,0.08021566113797986
175.5,0.07308686638834824
176.0,0.08255508465582247
176.5,0.08962314497280055
177.0,0.09013514364205436
177.5,0.08300365979984037
178.0,0.08099190878032796
178.5,0.07921079699289052
179.0,0.07764522042965898
179.5,0.07628163568996219
180.0,0.07510792125553656
180.5,0.07411325345080147
181.0,0.07328799557992259
181.5,0.07262359889990798
182.0,0.07211251423772942
182.5,0.07174811319158804
183.0,0.07559785754498026
183.5,0.08074370694719296
184.0,0.08050499560809778
184.5,0.06691373987491848
185.0,0.06315330416930987
185.5,0.07498058400000822
186.0,0.0686653417432447
186.5,0.0628899840575967
187.0,0.06707998635029895
187.5,0.07137061817436299
188.0,0.07359041544026303
188.5,0.06623326851964628
189.0,0.06373361708525616
189.5,0.061331441145051506
190.0,0.05703086928200456
190.5,0.06919186594242578
191.0,0.06534439999981409
191.5,0.056759644974867816
192.0,0.05570516641932653
192.5,0.05988485782923041
193.0,0.05410184688567701
193.5,0.05879921784332039
194.0,0.058359471726078416
194.5,0.059012509757809126
195.0,0.05666491054590463
195.5,0.06103107731070125
196.0,0.06320867150629163
196.5,0.06944508164274711
197.0,0.06872453973256758
197.5,0.054934268453825846
198.0,0.05628761846046637
198.5,0.04976937752639734
199.0,0.042288992094169184
199.5,0.0467291855956634
200.0,0.05173214566540362
